,Título,Endereço,Número,Bairro,Cidade,Estado,Área,Quartos,Banheiros,Vagas,Preço
4403,"Apartamento com 2 Quartos à Venda, 49m²",Rua Azioly Maria Luiza Cuthma,126,Ecoville,Curitiba,PR,49,2,1,--,R$ 295.899
4404,"Apartamento com  Quarto à Venda, 47m²",Alameda Júlia da Costa,100,Bigorrilho,Curitiba,PR,47,1,1,1,R$ 521.306
4405,"Apartamento com 2 Quartos à Venda, 55m²",Rua Hilário Moro,526,Tingui,Curitiba,PR,55,2,2,1,R$ 280.000
4406,"Apartamento com 2 Quartos à Venda, 68m²",Rua Elbe Pospissil,63,Juvevê,Curitiba,PR,68,2,2,1,R$ 675.000
4407,"Apartamento com  Quarto à Venda, 38m²",Rua José Cadilhe,415,Água Verde,Curitiba,PR,38,1,1,1,R$ 367.900
4408,"Apartamento com 3 Quartos à Venda, 79m²",Rua José Clementino Bettega,120,Capão Raso,Curitiba,PR,79,3,2,1,R$ 535.000
4409,"Apartamento com  Quarto à Venda, 33m²",Rua Nunes Machado,79,Centro,Curitiba,PR,33,1,1,--,R$ 250.000
4410,"Apartamento com 2 Quartos à Venda, 131m²",N/I,N/I,Fazendinha,Curitiba,PR,131,2,1,1,R$ 620.000
4411,"Apartamento com 3 Quartos à Venda, 61m²",Rua Tenente Francisco Ferreira de Souza,1922,Hauer,Curitiba,PR,61,3,1,1,R$ 357.195
4412,"Apartamento com  Quarto à Venda, 33m²",Avenida Visconde de Guarapuava,2764,Centro,Curitiba,PR,33,1,1,1,R$ 379.000
4413,"Apartamento com 3 Quartos à Venda, 155m²",Rua Martim Afonso,1015,Champagnat,Curitiba,PR,155,3,3,2,R$ 2.484.500
4414,"Apartamento com 2 Quartos à Venda, 105m²",Avenida Presidente Wenceslau Braz,N/I,Lindóia,Curitiba,PR,105,2,1,1,R$ 444.990
4415,"Apartamento com 2 Quartos à Venda, 59m²",Rua João Schleder Sobrinho,322,Boa Vista,Curitiba,PR,59,2,2,1,R$ 469.000
4416,"Apartamento com 3 Quartos à Venda, 190m²",N/I,N/I,Alto da Rua XV,Curitiba,PR,190,3,2,2,R$ 1.218.000
4417,"Apartamento com 2 Quartos à Venda, 51m²",Rua Desembargador Lauro Sodré Lopes,100,Portão,Curitiba,PR,51,2,2,1,R$ 409.348
4418,"Apartamento com 3 Quartos à Venda, 112m²",N/I,N/I,Ecoville,Curitiba,PR,112,3,2,1,R$ 1.263.000
4419,"Apartamento com  Quarto à Venda, 51m²",N/I,N/I,Vila Izabel,Curitiba,PR,51,1,1,1,R$ 376.512
4420,"Apartamento com 2 Quartos à Venda, 45m²",N/I,N/I,Capão Raso,Curitiba,PR,45,2,1,1,R$ 334.184
4421,"Apartamento com 3 Quartos à Venda, 142m²",Rua Martim Afonso,N/I,Bigorrilho,Curitiba,PR,142,3,2,2,R$ 1.603.500
4422,"Apartamento com 3 Quartos à Venda, 99m²",Rua Maria Clara,N/I,Alto da Glória,Curitiba,PR,99,3,2,2,R$ 1.472.700
4423,"Apartamento com 3 Quartos à Venda, 175m²",Rua Buenos Aires,486,Batel,Curitiba,PR,175,3,4,2,R$ 1.230.000
4424,"Apartamento com 3 Quartos à Venda, 112m²",Rua Lysimaco Ferreira da Costa,151,Centro Cívico,Curitiba,PR,112,3,3,1,"R$ 470.000
                        
Preço abaixo do mercado"
4425,"Apartamento com 3 Quartos à Venda, 83m²",Rua Eugênio José de Souza,N/I,Água Verde,Curitiba,PR,83,3,2,1,R$ 450.000
4426,"Apartamento com 2 Quartos à Venda, 80m²",Rua Governador Agamenon Magalhães,240,Cristo Rei,Curitiba,PR,80,2,2,1,R$ 545.000
4427,"Apartamento com 2 Quartos à Venda, 103m²",Avenida República Argentina,1793,Água Verde,Curitiba,PR,103,2,1,--,R$ 628.600
4428,"Apartamento com 2 Quartos à Venda, 79m²",Avenida Prefeito Maurício Fruet,110,Cajuru,Curitiba,PR,79,2,2,2,R$ 896.000
4429,"Apartamento com 2 Quartos à Venda, 50m²",Rua Thereza Lopes Skroski,761,Santa Cândida,Curitiba,PR,50,2,1,1,R$ 155.000
4430,"Apartamento com  Quarto à Venda, 23m²",Rua Visconde do Rio Branco,1832,Centro,Curitiba,PR,23,1,1,--,R$ 250.000
4431,"Apartamento com 3 Quartos à Venda, 114m²",Rua Doutor Leão Mocellin,390,Santa Felicidade,Curitiba,PR,114,3,2,2,R$ 894.900
4432,"Apartamento com 3 Quartos à Venda, 143m²",Rua Coronel Pedro Scherer Sobrinho,152,Cristo Rei,Curitiba,PR,143,3,3,2,R$ 1.600.000
4433,"Apartamento com 2 Quartos à Venda, 66m²",Rua Pará,900,Água Verde,Curitiba,PR,66,2,2,1,R$ 521.814
4434,"Apartamento com  Quarto à Venda, 65m²",Rua Brigadeiro Franco,1826,Batel,Curitiba,PR,65,1,1,--,R$ 565.000
4435,"Apartamento com 3 Quartos à Venda, 133m²",N/I,N/I,Bigorrilho,Curitiba,PR,133,3,4,2,R$ 2.164.000
4436,"Apartamento com 2 Quartos à Venda, 38m²",Estrada das Olarias,1631,Atuba,Curitiba,PR,38,2,1,1,R$ 135.000
4437,"Apartamento com 3 Quartos à Venda, 97m²",Avenida República Argentina,1044,Vila Izabel,Curitiba,PR,97,3,2,1,"R$ 550.000
                        
Preço abaixo do mercado"
4438,"Apartamento com 3 Quartos à Venda, 159m²",Rua Paulo Gorski,1175,Ecoville,Curitiba,PR,159,3,3,3,R$ 2.190.000
4439,"Apartamento com  Quarto à Venda, 26m²",Rua Augusto de Mari,3840,Portão,Curitiba,PR,26,1,1,--,R$ 245.000
4440,"Apartamento com 2 Quartos à Venda, 109m²",Avenida Vicente Machado,1056,Batel,Curitiba,PR,109,2,3,2,R$ 2.030.803
4441,"Apartamento com 2 Quartos à Venda, 53m²",Avenida Iguaçu,1325,Rebouças,Curitiba,PR,53,2,1,--,R$ 350.000
4442,"Apartamento com 3 Quartos à Venda, 75m²",Rua Presidente Epitácio Pessoa,260,Tarumã,Curitiba,PR,75,3,2,1,R$ 562.000
4443,"Apartamento com 3 Quartos à Venda, 125m²",N/I,N/I,Mossunguê,Curitiba,PR,125,3,4,2,R$ 1.740.000
4444,"Apartamento com 2 Quartos à Venda, 47m²",Rua Professor Guilherme Butler,1427,Barreirinha,Curitiba,PR,47,2,1,1,R$ 217.000
4445,"Apartamento com 3 Quartos à Venda, 89m²",Rua Monsenhor Ivo Zanlorenzi,4400,Ecoville,Curitiba,PR,89,3,2,2,R$ 800.000
4446,"Apartamento com 3 Quartos à Venda, 98m²",Avenida João Gualberto,N/I,Alto da Glória,Curitiba,PR,98,3,3,2,R$ 756.000
4447,"Apartamento com 4 Quartos à Venda, 423m²",Rua Padre Anchieta,N/I,Bigorrilho,Curitiba,PR,423,4,5,4,R$ 2.890.000
4448,"Apartamento com 2 Quartos à Venda, 75m²",Rua Maria Clara,111,Alto da Glória,Curitiba,PR,75,2,2,2,R$ 918.413
4449,"Apartamento com 2 Quartos à Venda, 53m²",Rua Irmãs Paulinas,5161,Novo Mundo,Curitiba,PR,53,2,2,1,R$ 432.900
4450,"Apartamento com 3 Quartos à Venda, 121m²",Rua Professor Pedro Viriato Parigot de Souza,2511,Mossunguê,Curitiba,PR,121,3,3,2,R$ 975.000
4451,"Apartamento com 2 Quartos à Venda, 48m²",Rua Francisco Derosso,5950,Alto Boqueirão,Curitiba,PR,48,2,1,1,R$ 215.000
4452,"Apartamento com 3 Quartos à Venda, 67m²",Rua Francisco Derosso,375,Xaxim,Curitiba,PR,67,3,2,1,R$ 425.000
4453,"Apartamento com 2 Quartos à Venda, 80m²",N/I,N/I,Alto da Glória,Curitiba,PR,80,2,2,2,R$ 1.021.000
4454,"Apartamento com 3 Quartos à Venda, 88m²",Rua Murilo do Amaral Ferreira,N/I,Água Verde,Curitiba,PR,88,3,3,1,R$ 559.000
4455,"Apartamento com 2 Quartos à Venda, 54m²",Rua Professor Luiz César,N/I,Água Verde,Curitiba,PR,54,2,2,1,R$ 616.900
4456,"Apartamento com 3 Quartos à Venda, 90m²",Avenida Sete de Setembro,4064,Centro,Curitiba,PR,90,3,2,1,R$ 730.000
4457,"Apartamento com 2 Quartos à Venda, 45m²",Rua Paulo Kulik,N/I,Santa Cândida,Curitiba,PR,45,2,1,1,R$ 263.000
4458,"Apartamento com 3 Quartos à Venda, 111m²",Rua Paraguassu,101,Alto da Glória,Curitiba,PR,111,3,1,2,R$ 1.207.986
4459,"Apartamento com 3 Quartos à Venda, 52m²",Rua Brasílio de Lara,66,Bairro Alto,Curitiba,PR,52,3,1,1,R$ 240.000
4460,"Apartamento com 3 Quartos à Venda, 112m²",Rua Monsenhor Ivo Zanlorenzi,5340,Ecoville,Curitiba,PR,112,3,2,1,R$ 1.276.000
4461,"Apartamento com 2 Quartos à Venda, 51m²",Rua Jovino do Rosário,1526,Boa Vista,Curitiba,PR,51,2,1,1,R$ 368.865
4462,"Apartamento com 3 Quartos à Venda, 156m²",Rua Palmeiras,725,Água Verde,Curitiba,PR,156,3,3,2,"R$ 969.000
                        
Preço abaixo do mercado"
4463,"Apartamento com 4 Quartos à Venda, 219m²",Rua Nicolau Maeder,N/I,Juvevê,Curitiba,PR,219,4,2,3,R$ 3.546.228
4464,"Apartamento com  Quarto à Venda, 42m²",Rua Brigadeiro Franco,2454,Rebouças,Curitiba,PR,42,1,1,1,R$ 350.000
4465,"Apartamento com 3 Quartos à Venda, 94m²",Avenida Água Verde,N/I,Água Verde,Curitiba,PR,94,3,2,1,R$ 420.000
4466,"Apartamento com 2 Quartos à Venda, 69m²",Rua Engenheiros Rebouças,2621,Rebouças,Curitiba,PR,69,2,1,2,R$ 680.000
4467,"Apartamento com 2 Quartos à Venda, 59m²",Rua Renato Polatti,3539,Campo Comprido,Curitiba,PR,59,2,2,1,"R$ 300.000
                        
Preço abaixo do mercado"
4468,"Apartamento com 3 Quartos à Venda, 108m²",Rua Constantino Marochi,N/I,Juvevê,Curitiba,PR,108,3,2,2,R$ 1.120.000
4469,"Apartamento com 2 Quartos à Venda, 49m²",Rua Azioly Maria Luiza Cuthma,126,Ecoville,Curitiba,PR,49,2,1,--,R$ 295.899
4470,"Apartamento com 4 Quartos à Venda, 107m²",Avenida Silva Jardim,3677,Rebouças,Curitiba,PR,107,4,3,1,R$ 680.000
4471,"Apartamento com  Quarto à Venda, 38m²",Rua José Cadilhe,415,Água Verde,Curitiba,PR,38,1,1,1,R$ 367.900
4472,"Apartamento com 3 Quartos à Venda, 79m²",Rua José Clementino Bettega,120,Capão Raso,Curitiba,PR,79,3,2,1,R$ 535.000
4473,"Apartamento com 2 Quartos à Venda, 131m²",N/I,N/I,Fazendinha,Curitiba,PR,131,2,1,1,R$ 620.000
4474,"Apartamento com 3 Quartos à Venda, 61m²",Rua Tenente Francisco Ferreira de Souza,1922,Hauer,Curitiba,PR,61,3,1,1,R$ 357.195
4475,"Apartamento com  Quarto à Venda, 33m²",Avenida Visconde de Guarapuava,2764,Centro,Curitiba,PR,33,1,1,1,R$ 379.000
4476,"Apartamento com 3 Quartos à Venda, 155m²",Rua Martim Afonso,1015,Champagnat,Curitiba,PR,155,3,3,2,R$ 2.484.500
4477,"Apartamento com 4 Quartos à Venda, 185m²",N/I,N/I,Ecoville,Curitiba,PR,185,4,4,3,R$ 2.983.000
4478,"Apartamento com 2 Quartos à Venda, 105m²",Avenida Presidente Wenceslau Braz,N/I,Lindóia,Curitiba,PR,105,2,1,1,R$ 444.990
4479,"Apartamento com 2 Quartos à Venda, 59m²",Rua João Schleder Sobrinho,322,Boa Vista,Curitiba,PR,59,2,2,1,R$ 469.000
